nb_reader,nb_writer,nb threads,Mesure i,time
1,1,2,1,0.22
1,1,2,2,0.22
1,1,2,3,0.22
1,1,2,4,0.21
1,1,2,5,0.22
2,2,4,1,0.13
2,2,4,2,0.13
2,2,4,3,0.13
2,2,4,4,0.13
2,2,4,5,0.13
4,4,8,1,0.08
4,4,8,2,0.09
4,4,8,3,0.09
4,4,8,4,0.09
4,4,8,5,0.09
8,8,16,1,0.07
8,8,16,2,0.06
8,8,16,3,0.06
8,8,16,4,0.07
8,8,16,5,0.07
16,16,32,1,0.07
16,16,32,2,0.07
16,16,32,3,0.06
16,16,32,4,0.07
16,16,32,5,0.06
32,32,64,1,1.90
32,32,64,2,1.85
32,32,64,3,2.36
32,32,64,4,2.73
32,32,64,5,2.12
